제목	본문
추가 호수공원 아이 부모님 찾았답니다	추가부모님이 아이를 첫날 찾았지만호수공원에사 방송을 일째 했다는 걸 아침에 일어나 알게 되었어요 새벽까지 타 카페 검색도 해보다가아침부터 생업에 종사하고 있어 즉각 글 수정 못한 점은 죄송합니다 심야에 어느 부서 기관에 사실여부를 확인해야겠다는 생각보다는 어딘가에서 엇갈려 아이를 찾고 있을 부모님깨 도움이 될까 타 카페글을 가져와 글을 적었는데 다른 어떤 분들에게는 이 글이 불편했나보네요아무튼 아이는 잃어버린 날 부모님 잘 찾아다하니 그걸로 위안을 삼아야겠어요맘카페에서 보고 퍼왔는데 일째 공원에서 아이 부모 찾는 방송이 나오고 있다고 해요 아이는 살 이도경 이라고 하고확실하지는 않지만 공원 관리소 측에서 아이를 경찰에 인계힌 상태라고 합니다 방탈이지만 결시친 화력이 좋아서 여기로 퍼왔어요 아이가 빨리 부모님을 찾기를 
버블은 썰려서 카리나 문자 주작인 이유	만 다시 올림암튼 카리나 나도 첨엔 선입견 있었는데 버블 시작후 거의 매일 오고 월은 아예 올출석에 팬사랑 쩌는듯 논란도 없고 그 문자 주작후기말곤 학창시절 후기도 다 좋음글은 톡선 올리지말아줘 어차피 여긴 카리나 까니까 검색해서 볼 사람만 보라고 
 서수진은	갑자기 다시 관심을 가지기 시작하네 근데 글 보면 수진 팬들 같지도 않음 이제 수진 정병들이 없어지고 좀 객관적으로 사건을 보는사람들이 글을 쓰기 시작하는듯 솔직히 이 사건 모순이 너무 많음 네버랜드로써 아무쪼록 잘 해결되기만을 기도하고있겠음미연 민니 소연 우기 슈화 아이들 수진
최애 최유정 만난 제덕쿵야	초등학교 학년 때 부터 최유정이 최애였던 제덕쿵야자가격리 끝나고 양궁 연습하러 갔는데최애 최유정 깜짝 등장순간 흠칫 놀랐지만최애랑 사진도 찍고 잇몸 만개 자신의 분신과도 같은 활도 들어보라고 권함참고로 김제덕 선수는 자신의 장비 만지는 데 예민한 선수라고 함코치님 피셜그러나 최애는 예외 유정이가 만진 활 졸업할 때 까지 쓴다는 제덕쿵야최애한테 내가 제일 잘 하는 거 레슨하는 중초등학생때 그 꼬마가 이제 최애보다 키가 커서구부정한 엉거주춤 자세로 가르쳐 줌 이어서 최애 앞에서 활 쏘기올림픽 보다도 더 떨린다는 제덕 쿵야최애 앞에서 쏘는거라 엄청 긴장될텐데도올 텐 쏜 김제덕 선수김제덕 선수 시력 이라 이미 다 알고 있는 점수일텐데도굳이 최애 앞에서 소리 내어 말하는 내 올텐 과녁판자신의 장비 만지는 데 예민하다고 했는데최애한테는 아까운 게 없음자신의 이름 각인된 올림픽 화살을 최애에게 세 발이나 줌 그건 화살이 아닌 마음내가 준 선물 세까지 갖고 있겠다는 최애와그걸 지켜보는 나아아아아아이제 최애가 간다고 하니까으아아앙 소리내며 아쉬워하는 세 소년다음 올림픽에 가게 된다면그 땐 코리아 파이팅이랑 최유정 파이팅 외치겠다는 제덕 쿵야 
스우파 모니카 트윗 봐봐 	신정우 모니카 세상 무서운 캐릭인 줄 알았는데 트윗 완전 귀여움저번주부터 트위터 깔고 소통하면서 완전 신나심
고삼들 재수 없음	한낱 고지만 이번에 모 진짜 수고했어  이번에 망쳤어도 액땜한 걸거야 모 결과 맘에 안 들어도 남은 기간 진짜 열심히 하면 원하는 대로 다 이뤄질 거야 파이팅 원래 모를 좀 망치는 게 공부 자극도 되고 공부하기엔 더 낫다더라 이맘 때쯤부터 더 열심히 해서 좋은 성적 거둔 사람도 많다고 하니까 너무 자책하지는 마 파이팅
에이핑크 박초 롱 철면피 무엇	이것도 해명된 부분임 술 마시고 통화하기라도 했나 내가 좋아했던 언니들은 왜 다 뭐가 터지지 근데 사람들 관심이 없으면 이렇게 그냥 묻히기도 하구나 
에이프릴 현주 뒷광고 했대	사과문 올라옴근데 말을 되게 교묘하게 하네그게 뒷광고인데뒷광고 맞다는 걸 뭘 그리 구구절절 길게 얘기하는지 
고들 아 국어  쉬웠니	담임이 국어는 난이도 조절 실패라고 점 맞은 애  많다 함 비문학 점짜리 하나만 틀릴 줄 알고 점 예상했는데 문학에서 점까임  진짜 개오바아니냐 아  이면 도 안 뜰 것 같은데 아 이번 모 전체적으로 됨 수학은 말할 것도 없고 영어도 망하고 이래서 대학가겠냐 나 문학 시랑 이야기랑 노래 어쩌구하는 지문에서 까였는데 그건 틀릴만했어 풀면서도 내용을 제대로 이해 못해가지고 어리바리깜 지금 읽어도 이해가 안되네 내일 다시 읽어볼게 담임이 국어는 난이도 조절 실패라고 점 맞은 애  많다 함 비문학 점짜리 하나만 틀릴 줄 알고 점 예상했는데 문학에서 점까임  진짜 개오바아니냐 아  이면 도 안 뜰 것 같은데 아 이번 모 전체적으로 됨 수학은 말할 것도 없고 영어도 망하고 이래서 대학가겠냐 나 문학 시랑 이야기랑 노래 어쩌구하는 지문에서 까였는데 그건 틀릴만했어 풀면서도 내용을 제대로 이해 못해가지고 어리바리깜 지금 읽어도 이해가 안되네 내일 다시 읽어볼게
걸스 플래닛 이렇게 데뷔 햇음 좋겠어	최유진 한국허지원 한국김보라 한국김채현 한국강예서 한국션샤오팅 중국황씽치아오 중국사카모토 마시로 일본키시다 리리카 일본다 예쁘고 귀엽고 무대도 잘 함  체리블렛 걸스플레닛 셀 투표 데뷔 
응원법학과 나와야 하는 가수와 팬덤	예상했다면 예상했던대로 비투비와 멜로디아직 수강신청 안한 멜로디 있으면 얼른해 난 학점 확정월 일에 나온 신곡 의 응원법이 오늘 올라옴이번 응원법은 다이어트에 도움이 된대팔뚝살 빼기 좋은 응원법먼저 이름 불러주고 바로 응원법 시작이번 응원법에는 응원봉 들으면서 치는 박수가 많기때문에팔뚝살 빼기 최고비투비 안사랑하면 안될정도의 열정헤이하는 타이밍 잘 맞춰들어가야함영상보면 타이밍 간 보고 딱 맞추는거 웃김 아티스트 보호 차원으로 선글라스 껴봄응원법에 그를르를르가 등장쓰니는  아무리해도 안돼서 응원하러 못갈듯 우와 식도가 보여요 알 사람은 아는 있  님의 식도영상 식도미남 서은광성수동 세 이민혁본업멜로디 부업응원법 교수 취미비투비                                      가 분명함혼자 열심히 환호하는 프니를 보고 은광이 하는 말두유 헤브 아가미프니오우 아가미 왓츠 아가미음방 첫방은 목요일 엠카운트다운다음주에는 스페셜 무대도 있다니까 많관부비투비 서은광 이민혁 이창섭 임현식 프니엘 육성재
추석 때 용돈 더 달라고 하시는데	올해 설날이 결혼 후 첫 명절이었어요용돈을 넉넉하게 드리고싶었지만돈 계산을 해보니 생각보다 지출이 많아시부모님 만원  친정부모님 만원 시할머니할아버님 만원  친할머니 만원드렸어요어버이날때는 시부모님 만원  친정부모님 만원 드렸어요생신때는 각만원씩 드렸어요매달 용돈은 드리지않고있습니다우리둘은 직장은 안정적이지만 벌이가 많지않다보니사실 부담이되요일년에 명절번 어버이날번 양가부모님생신 총번  큰 행사만 일년개월 중 번인데부가적인 할아버님 할머님들 생신등 여러가족행사를챙기는 도리를 하게되면정말 달에 한번은 큰 행사가 있어요 거기다적어도 한달에 한번은 얼굴을 뵙게되니 생각보다 교류가 너무 많아요살가운 며느리는 아니더라도 평생 얼굴뵙고 살아야하니 나름 노력도 많이하는편인데방금 점심때 시어머님과의 통화로 기분이 너무 상합니다갑자기 전화오셔서 이번 명절때 어떻게해야할지 이야기 하신다고 하길래그냥 네 하고 듣고있었어요그런데 마지막쯤에 호호호 웃으시면서 이번에는 저번처럼 섭섭하게 하면 안된다잉이렇게 이야기하시는 거예요제가 순간 이해안되서 네하니까홍홍홍 집안어른들 마음 상하게 아니다 하시고 알겠니 하시더니 남편하고 잘 이야기해보라 하고 일방적으로 전화끊으시네요전화끊고 멍하니있다 화도 나고 뭔가 서러워서 눈물도 갑자기 찔끔났어요그저께 친정엄마가 이번에는 뭐들고오지도말고 용돈도 주지말아라 너희둘이 뭐가있다고 돈을쓰냐 하셨던게 생각나니 왠지 더 서럽더라구요 시댁갈때 작은 과일이라도 사가려하고 빈손으로 간적 한번도 없었고부족하지만 그래도 노력이라도 했는데시어머님 말씀한마디에 작은것 하나 해드리고 싶었던 마음도 사라집니다저렇게 대놓고 이야기하시는데 안해드릴 수 없고한번해드리면 계속 해드려야하는데저희도 언젠간 자식이 태어나면 지금보다 궁핍해질텐데 이런생각이 꼬리에 꼬리를 물어 머리가 아프네요 아직 신랑한텐말은 못했지만 너무 스트레스라 글 적어요 다들 용돈 어떻게들 드리나요제가 너무 적나요 
뒷모습 보고가요 제 발	나 미쳐눈을 어케떼누출처  사진 검색 및 사진 속 참조 
엥 수진 이 거 뭐임	뭐야 이거 
송하영 스우파 보면서 이채 연  답답하겠네	송하영이 나갔으면 몇명은 쌉바르는데  언더에서도 유명하셨던분 
로제 언니에게 만원대 선물한 티파니앤코	언니도 챙기네 
뭐가 더 낫냐 나 지금 남친이랑 싸우고 있어	추반 좀
이번 달까지 하고 폐업 하기로 했습니더	진짜 뭣도 모르고 패기하나로 대출 받고 창업해서 하루 시간한달에 일 쉬면서 절실하고 노력 하면된다내가 덜쓰고 아끼면 된다우리가족 먹여 살려야 한다집념으로 버티고 버티고 버텼는데 더이상 못하겠네요매출이 떨어져도 배달건수가 올라서 실질적으로 매출은 오른걸오 보여서 버팀목 하나도 못받고 이제 너무 우울해서 그만 두고 새로운 일자리 찾아봐야되는데 살에 경력은 없고 막막하네요막노동이라도 하면 가족을 먹여 살리는데 문제는 없겠죠아이들과 와이프한테 너무 미안하네요
배민 블랙리스트에 오른 사람	 
데이트 폭력으로 고소당한 배구 선수 정지석	현재 여자친구 인스타에 올라온 사진들 요약 여자친구한테 폭력휘둘러서 고소당함 여자친구집에 몰카설치 헤어지자고 하니까 자살협박
명절에 남편 불러내서 여행가는 시 어머니	이번 추억 연휴내내 저는 일하고 남편은 쉬는데시어머니가 남편 데리고 여행가신다네요처음엔 별일 아니라 생각했는데자꾸 생각나고 열받는건 뭐죠  저 너무 쪼잔한가요시어머니 매일 남편이랑 통화하고 간섭하는 스탈이라 더 기분이 안좋네요독립해서 결혼한 남에 집 가장을 왜자꾸 품안에 자식처럼 불러내는건지하
미연  비투비 투샷 너무 보기 좋다	미연이 진행하는 소문의 아이들에 비투비 나와서 같이 사진 찍은 거   같은 소속사 선 후배 사이인데 저렇게 잘 지내는 거 보니까 훈훈해  
비투비 서 은광이 창섭이 농담을 받는 법	바로받아줌 프니한테 장난도 거는데프니 칼손절하는거좀봐 진심 개웃겨 서은광 진짜 사랑스러워 증말 
 된 현역들 개추	아 들 응원을 수능옆자리에서 하게생겼다고
나 지하철에서 시 선강 간 당했어	난 정말정말정말 평범한 살임 얼굴도 몸매도 그냥 튀지않는 보통임오늘 지하철 타면서 자리 없어가지고 그냥 쭉 서서 탔는데 어떤 중년 정도 되보이는 아저씨가 날 자꾸 쳐다보는 느낌 그러더니 갑자기 씨익 웃으시대 내 옆 주위에는 아무도 없었고 아무리 봐도 날 본거같은데 내가 착각한걸까 아 착각이래도 뭔가 기분 나빴음 나 옷차림도 레깅스에 엉덩이 덮어지는 박시한 티 입었는데 레깅스 이제 못입을듯 하 인생 내가 입고싶은것도 맘대로 못 입음 이러다 성폭행 당하면 옷차림이 문제야 이럴 한남들 꼭 있겠지 같아 
